,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,type_right,type_left,type
0,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
1,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
2,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
3,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
4,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
5,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
6,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
7,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
8,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
9,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
10,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
11,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
12,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
13,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
14,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
15,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
16,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
17,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
18,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
19,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
20,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
21,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
22,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
23,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
24,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
25,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
26,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
27,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
28,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
29,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
30,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
31,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
32,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
33,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
34,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
35,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
36,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
37,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
38,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
39,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
40,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
41,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
42,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
43,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
44,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
45,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
46,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
47,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
48,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
49,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
50,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
51,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
52,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
53,,,,,,,,,,,,,,,,,,,,,DNA,DNA,DNA
