,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR,type
0,0.098,0.347,0.456,0.129,0.079,0.098,0.493,0.257,0.038,0.629,0.371,DNA
1,0.19,0.167,0.53,0.076,0.057,0.19,0.402,0.28,0.031,0.541,0.459,DNA
2,0.109,0.198,0.562,0.104,0.045,0.109,0.512,0.238,0.025,0.569,0.431,DNA
3,0.116,0.213,0.541,0.072,0.103,0.116,0.523,0.217,0.023,0.471,0.529,DNA
4,0.209,0.287,0.375,0.059,0.081,0.209,0.428,0.311,0.062,0.499,0.501,DNA
5,0.134,0.239,0.462,0.077,0.075,0.134,0.465,0.25,0.042,0.541,0.459,DNA
6,0.151,0.248,0.419,0.056,0.097,0.151,0.412,0.24,0.036,0.494,0.506,DNA
7,0.15,0.174,0.461,0.039,0.043,0.15,0.472,0.2,0.017,0.5,0.5,DNA
8,0.181,0.097,0.458,0.028,0.083,0.181,0.417,0.264,0.028,0.375,0.625,DNA
9,0.144,0.241,0.454,0.069,0.064,0.144,0.457,0.249,0.053,0.545,0.455,DNA
10,0.134,0.241,0.464,0.062,0.076,0.134,0.498,0.241,0.04,0.537,0.463,DNA
11,0.192,0.173,0.474,0.019,0.083,0.192,0.506,0.224,0.045,0.436,0.564,DNA
12,0.183,0.245,0.451,0.106,0.053,0.183,0.488,0.299,0.073,0.56,0.44,DNA
13,0.342,0.179,0.413,0.082,0.02,0.342,0.403,0.439,0.01,0.51,0.49,DNA
14,0.176,0.204,0.45,0.043,0.074,0.176,0.435,0.254,0.038,0.482,0.518,DNA
15,0.171,0.181,0.429,0.057,0.067,0.171,0.457,0.267,0.038,0.419,0.581,DNA
16,0.136,0.218,0.478,0.042,0.088,0.136,0.472,0.214,0.033,0.514,0.486,DNA
17,0.121,0.2,0.509,0.055,0.073,0.121,0.448,0.206,0.018,0.624,0.376,DNA
18,0.227,0.18,0.516,0.023,0.023,0.227,0.461,0.258,0.008,0.5,0.5,DNA
19,0.227,0.188,0.508,0.023,0.023,0.227,0.453,0.258,0.008,0.5,0.5,DNA
20,0.168,0.148,0.485,0.02,0.077,0.168,0.469,0.245,0.031,0.362,0.638,DNA
