ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Seq_1,7.69,1.50,3.19,3.75,4.88,6.38,2.06,3.00,3.56,5.63,2.25,3.00,12.95,4.88,4.13,16.89,8.63,2.63,0.19,2.81
Seq_2,11.61,1.42,2.83,7.08,3.40,16.15,9.07,1.13,4.53,7.65,1.70,1.42,7.65,3.68,5.38,7.65,1.98,3.40,0.28,1.98
Seq_3,7.67,1.49,1.73,8.91,1.24,12.13,1.49,3.96,3.71,9.16,0.99,2.48,10.40,4.70,5.69,6.93,5.69,8.42,2.23,0.99
Seq_4,12.81,0.83,5.58,4.55,3.72,6.20,2.27,5.17,2.89,10.95,1.45,2.89,7.23,8.88,6.40,5.17,3.51,2.89,3.72,2.89
Seq_5,4.99,4.75,2.38,6.18,4.99,5.70,3.33,2.14,8.08,6.18,1.43,4.28,5.94,5.23,9.50,10.21,6.18,5.46,0.71,2.38
Seq_6,6.47,1.65,4.51,8.12,4.51,6.47,2.71,3.16,4.96,6.47,2.56,3.91,7.67,4.66,5.71,11.28,5.11,7.07,1.80,1.20
Seq_7,5.63,1.53,6.65,8.18,3.84,7.42,2.05,2.30,6.65,9.21,2.05,3.32,5.63,4.09,6.39,10.49,5.12,3.58,2.30,3.58
Seq_8,13.30,0.21,9.66,10.73,1.50,5.36,0.64,4.29,7.30,9.44,1.50,1.07,3.86,4.72,7.08,4.29,6.22,6.01,0.86,1.93
Seq_9,4.17,0.00,5.56,15.28,2.78,6.94,1.39,6.94,12.50,11.11,2.78,5.56,2.78,0.00,4.17,5.56,2.78,4.17,4.17,1.39
Seq_10,5.27,2.24,7.35,5.11,3.35,7.83,2.72,5.75,6.07,7.99,3.04,3.67,6.87,2.88,5.59,10.70,5.91,4.63,0.64,2.40
Seq_11,10.72,2.07,6.94,4.63,3.05,4.02,3.05,3.53,2.92,10.23,1.95,4.51,6.21,4.99,7.43,9.50,5.36,4.38,2.31,2.19
Seq_12,8.97,3.21,6.41,8.33,3.85,6.41,4.49,5.77,4.49,10.26,1.28,1.28,1.92,3.21,10.26,3.21,6.41,5.77,3.21,1.28
Seq_13,8.60,6.45,5.29,5.79,2.64,8.10,1.32,1.49,6.78,6.78,0.83,0.99,10.58,5.45,10.25,5.95,5.29,4.79,1.32,1.32
Seq_14,15.31,0.00,2.04,3.06,0.51,4.08,1.02,3.06,29.59,3.06,1.02,1.53,8.16,2.55,3.57,10.71,3.06,6.12,0.00,1.53
