ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_1,27.81,144.86,55.95,59.38,29.70,38.41,131.72,62.54,74.72,34.45,86.23,72.50,16.09,42.51,97.66,13.60,19.87,69.44,319.53,56.64
Seq_2,20.86,134.67,59.50,36.47,53.77,20.90,56.54,95.60,79.59,37.66,83.64,89.81,78.29,67.08,62.11,34.83,80.51,43.08,195.22,72.32
Seq_3,21.08,64.32,67.15,23.86,132.32,13.79,98.91,50.93,63.52,23.27,103.76,122.39,19.23,29.99,43.20,30.17,28.48,20.54,63.61,115.84
Seq_4,16.67,129.40,26.72,38.06,51.20,27.60,69.72,28.63,72.22,15.45,197.77,49.35,29.14,20.35,33.74,35.01,62.97,41.93,45.37,53.63
Seq_5,54.48,51.28,80.16,38.14,44.69,35.83,61.45,142.05,17.25,23.21,146.65,33.98,23.55,40.61,36.45,17.58,35.46,34.10,245.99,54.27
Seq_6,36.14,173.46,49.86,32.44,38.61,32.57,79.33,62.56,41.14,27.01,129.16,51.85,32.76,42.14,42.42,19.17,34.84,22.49,102.49,179.31
Seq_7,32.80,93.03,27.66,20.94,37.83,25.63,63.15,87.31,47.36,20.44,82.08,86.94,39.37,54.19,28.95,19.78,35.37,46.55,71.46,61.33
Seq_8,21.03,232.47,28.67,20.86,97.20,30.21,172.45,56.11,41.24,30.21,136.54,131.15,52.81,65.56,37.97,47.48,25.43,26.42,133.64,96.18
Seq_9,26.50,0.00,23.04,7.82,42.99,20.40,38.68,17.75,10.45,16.49,40.03,25.71,28.68,0.00,22.70,13.54,30.48,22.07,20.76,35.18
Seq_10,34.27,72.71,26.32,29.47,76.77,24.09,51.80,29.71,35.36,24.79,64.87,43.81,29.58,64.69,45.13,20.30,38.31,52.30,223.02,69.58
Seq_11,18.93,138.23,29.75,31.50,74.38,39.60,53.40,43.56,61.24,20.28,93.31,43.20,34.07,33.92,34.54,20.13,36.71,38.70,61.77,122.18
Seq_12,22.17,39.57,24.00,19.01,45.39,19.77,65.37,22.06,32.21,17.32,131.02,66.80,57.36,43.95,13.30,36.72,23.80,26.95,40.06,65.26
Seq_13,22.77,50.11,30.72,35.68,67.91,21.81,109.96,138.24,29.92,29.89,158.49,139.50,24.42,32.46,42.08,30.30,40.71,39.01,147.63,181.27
Seq_14,10.37,0.00,63.25,36.90,97.31,57.17,106.96,52.43,6.26,63.87,143.93,104.82,37.80,76.14,43.10,13.80,52.59,21.35,0.00,104.97
Seq_15,28.47,215.94,30.12,25.02,60.57,32.12,147.73,32.69,17.99,21.56,76.88,50.60,44.99,49.49,59.87,20.66,45.42,23.97,132.77,90.33
Seq_16,21.42,52.19,30.24,11.86,50.49,34.85,31.51,27.76,25.50,20.12,81.22,40.32,23.09,26.74,26.51,20.41,21.89,40.26,92.47,82.74
Seq_17,23.63,161.18,29.24,30.61,53.84,23.72,95.33,31.55,23.80,20.10,93.88,59.25,37.29,70.60,34.54,23.74,32.70,24.08,149.74,38.29
Seq_18,23.51,89.70,34.42,20.90,26.41,13.40,0.00,44.27,30.94,33.37,105.15,37.25,41.95,42.52,15.03,14.94,28.76,28.18,61.23,91.70
Seq_19,14.23,0.00,44.94,41.94,83.82,14.10,29.80,20.07,20.97,15.04,126.01,63.88,37.18,42.67,24.76,16.68,23.83,18.06,0.00,57.75
Seq_20,14.42,0.00,44.94,41.94,83.82,14.10,29.80,20.07,20.97,15.04,126.01,63.88,37.18,42.67,24.76,15.62,18.68,17.92,0.00,57.75
Seq_21,26.42,0.00,46.55,12.56,24.15,27.72,68.21,21.17,35.04,9.05,49.56,24.31,43.02,31.59,14.79,20.30,36.65,42.64,178.74,98.77
Seq_22,29.91,304.47,53.31,52.48,43.04,26.79,82.16,68.27,102.97,27.00,77.63,32.83,34.88,37.84,64.75,24.63,24.05,47.87,238.60,60.92
Seq_23,43.52,229.85,21.28,24.66,27.42,33.30,75.41,20.95,19.66,46.63,30.54,38.84,60.02,42.25,35.21,26.95,23.27,27.52,124.26,45.02
Seq_24,51.76,93.70,27.32,19.48,50.71,41.70,63.89,40.21,22.42,24.96,51.16,29.01,60.69,40.50,27.36,21.34,33.40,43.72,80.36,52.36
Seq_25,15.79,63.78,51.89,9.05,26.91,28.73,42.23,40.00,12.99,27.52,35.66,27.23,72.60,32.12,31.49,15.50,37.10,17.78,0.00,67.44
