ID,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR
Seq_1,0.098,0.347,0.456,0.129,0.079,0.098,0.493,0.257,0.038,0.629,0.371
Seq_2,0.19,0.167,0.53,0.076,0.057,0.19,0.402,0.28,0.031,0.541,0.459
Seq_3,0.109,0.198,0.562,0.104,0.045,0.109,0.512,0.238,0.025,0.569,0.431
Seq_4,0.116,0.213,0.541,0.072,0.103,0.116,0.523,0.217,0.023,0.471,0.529
Seq_5,0.209,0.287,0.375,0.059,0.081,0.209,0.428,0.311,0.062,0.499,0.501
Seq_6,0.134,0.239,0.462,0.077,0.075,0.134,0.465,0.25,0.042,0.541,0.459
Seq_7,0.151,0.248,0.419,0.056,0.097,0.151,0.412,0.24,0.036,0.494,0.506
Seq_8,0.15,0.174,0.461,0.039,0.043,0.15,0.472,0.2,0.017,0.5,0.5
Seq_9,0.181,0.097,0.458,0.028,0.083,0.181,0.417,0.264,0.028,0.375,0.625
Seq_10,0.144,0.241,0.454,0.069,0.064,0.144,0.457,0.249,0.053,0.545,0.455
Seq_11,0.134,0.241,0.464,0.062,0.076,0.134,0.498,0.241,0.04,0.537,0.463
Seq_12,0.192,0.173,0.474,0.019,0.083,0.192,0.506,0.224,0.045,0.436,0.564
Seq_13,0.183,0.245,0.451,0.106,0.053,0.183,0.488,0.299,0.073,0.56,0.44
Seq_14,0.342,0.179,0.413,0.082,0.02,0.342,0.403,0.439,0.01,0.51,0.49
Seq_15,0.176,0.204,0.45,0.043,0.074,0.176,0.435,0.254,0.038,0.482,0.518
Seq_16,0.171,0.181,0.429,0.057,0.067,0.171,0.457,0.267,0.038,0.419,0.581
Seq_17,0.136,0.218,0.478,0.042,0.088,0.136,0.472,0.214,0.033,0.514,0.486
Seq_18,0.121,0.2,0.509,0.055,0.073,0.121,0.448,0.206,0.018,0.624,0.376
Seq_19,0.227,0.18,0.516,0.023,0.023,0.227,0.461,0.258,0.008,0.5,0.5
Seq_20,0.227,0.188,0.508,0.023,0.023,0.227,0.453,0.258,0.008,0.5,0.5
Seq_21,0.168,0.148,0.485,0.02,0.077,0.168,0.469,0.245,0.031,0.362,0.638
Seq_22,0.099,0.269,0.473,0.092,0.065,0.099,0.477,0.251,0.033,0.562,0.438
Seq_23,0.164,0.205,0.453,0.04,0.104,0.164,0.466,0.242,0.047,0.446,0.554
Seq_24,0.162,0.225,0.386,0.033,0.076,0.162,0.405,0.252,0.045,0.476,0.524
Seq_25,0.157,0.189,0.417,0.016,0.071,0.157,0.417,0.236,0.047,0.433,0.567
Seq_26,0.129,0.231,0.49,0.102,0.102,0.129,0.531,0.279,0.054,0.524,0.476
Seq_27,0.196,0.159,0.505,0.037,0.009,0.196,0.43,0.262,0.028,0.467,0.533
Seq_28,0.14,0.228,0.45,0.025,0.099,0.14,0.474,0.218,0.038,0.483,0.517
Seq_29,0.185,0.179,0.444,0.056,0.049,0.185,0.377,0.278,0.025,0.549,0.451
Seq_30,0.119,0.257,0.47,0.076,0.102,0.119,0.49,0.257,0.026,0.574,0.426
Seq_31,0.116,0.227,0.488,0.084,0.106,0.116,0.491,0.276,0.025,0.578,0.422
Seq_32,0.154,0.242,0.499,0.097,0.079,0.154,0.474,0.263,0.05,0.553,0.447
Seq_33,0.111,0.25,0.472,0.014,0.028,0.111,0.417,0.208,0.042,0.5,0.5
Seq_34,0.136,0.218,0.499,0.103,0.055,0.136,0.459,0.277,0.063,0.562,0.438
Seq_35,0.153,0.139,0.458,0.042,0.028,0.153,0.472,0.264,0.056,0.431,0.569
Seq_36,0.127,0.165,0.532,0.076,0.051,0.127,0.519,0.228,0.025,0.557,0.443
Seq_37,0.183,0.27,0.409,0.04,0.079,0.183,0.438,0.262,0.024,0.502,0.498
Seq_38,0.163,0.191,0.54,0.042,0.056,0.163,0.553,0.205,0.033,0.512,0.488
Seq_39,0.157,0.148,0.511,0.061,0.074,0.157,0.502,0.24,0.057,0.445,0.555
Seq_40,0.157,0.241,0.426,0.08,0.061,0.157,0.453,0.286,0.031,0.505,0.495
Seq_41,0.257,0.213,0.441,0.037,0.051,0.257,0.456,0.301,0.007,0.426,0.574
Seq_42,0.243,0.206,0.463,0.044,0.051,0.243,0.5,0.294,0.037,0.434,0.566
Seq_43,0.243,0.206,0.463,0.044,0.051,0.243,0.493,0.294,0.029,0.434,0.566
Seq_44,0.243,0.206,0.463,0.044,0.051,0.243,0.485,0.294,0.022,0.434,0.566
Seq_45,0.23,0.222,0.452,0.044,0.044,0.23,0.496,0.289,0.03,0.452,0.548
Seq_46,0.25,0.199,0.463,0.044,0.051,0.25,0.507,0.301,0.037,0.426,0.574
Seq_47,0.194,0.178,0.472,0.055,0.068,0.194,0.492,0.298,0.013,0.421,0.579
Seq_48,0.184,0.184,0.454,0.056,0.046,0.184,0.401,0.258,0.039,0.534,0.466
Seq_49,0.122,0.219,0.484,0.062,0.084,0.122,0.508,0.23,0.049,0.53,0.47
Seq_50,0.128,0.271,0.468,0.095,0.063,0.128,0.502,0.255,0.069,0.53,0.47
Seq_51,0.115,0.256,0.487,0.013,0.051,0.115,0.513,0.154,0.038,0.513,0.487
Seq_52,0.114,0.256,0.415,0.023,0.028,0.114,0.438,0.188,0.04,0.472,0.528
Seq_53,0.153,0.239,0.436,0.026,0.08,0.153,0.465,0.228,0.062,0.459,0.541
